date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,rating1_pre,rating2_pre,pitcher1,pitcher2,pitcher1_rgs,pitcher2_rgs,pitcher1_adj,pitcher2_adj,rating_prob1,rating_prob2,rating1_post,rating2_post,score1,score2
2021-10-03,2021,0,,ATL,NYM,1520.30203281876,1511.6178025374,0.5468981253584034,0.45310187464159657,,,1523.24950709754,1537.04742780625,,,,,,,0.5147402389917184,0.4852597610082816,,,,
2021-10-03,2021,0,,STL,CHC,1519.69110959809,1525.79717673314,0.5257286945873083,0.4742713054126917,,,1510.96575793549,1517.00028701002,,,,,,,0.5273203989501174,0.4726796010498826,,,,
2021-10-03,2021,0,,SEA,ANA,1479.48461051814,1478.45545689807,0.5359576656430115,0.4640423343569885,,,1469.208247477,1494.92029756214,,,,,,,0.49961027901053195,0.5003897209894681,,,,
2021-10-03,2021,0,,LAD,MIL,1579.55456732418,1502.59898771635,0.6413312955736417,0.35866870442635834,,,1595.49895724818,1513.48023484368,,,,,,,0.6461894566803622,0.3538105433196378,,,,
2021-10-03,2021,0,,KCR,MIN,1473.20240553643,1498.95373857235,0.49747965050818754,0.5025203494918125,,,1470.73388549081,1514.23522340186,,,,,,,0.47223782277194803,0.527762177228052,,,,
2021-10-03,2021,0,,HOU,OAK,1538.01585734728,1524.14181146116,0.5542902555754947,0.4457097444245053,,,1549.61126756924,1514.86561080646,,,,,,,0.5836033476535117,0.41639665234648826,,,,
2021-04-01,2021,0,,NYY,TOR,1540.62987424448,1499.3936808717,0.5927944739407793,0.40720552605922067,1538.94330790879,1501.08024720739,1572.32900576459,1519.09975557088,Gerrit Cole,Hyun Jin Ryu,64.0787823461985,55.2522452764433,44.48235450486566,35.170897061014536,0.624955451852832,0.375044548147168,1570.97524371728,1520.45351761819,2,3
2020-10-27,2020,1,w,LAD,TBD,1607.75791462584,1564.1779839003,0.5828510541046938,0.41714894589530616,1610.04585709666,1561.89004142948,1610.72295816801,1562.80487526492,Tony Gonsolin,Blake Snell,54.0557896551165,54.534448390499,7.995742126795841,6.040024074714009,0.594547182775351,0.405452817224649,1612.37435113009,1561.15348230284,3,1
2020-10-25,2020,1,w,TBD,LAD,1566.44975190642,1605.48614661972,0.42565150409666913,0.5743484959033309,1564.1779839003,1607.75791462584,1564.20436099876,1609.32347243417,Tyler Glasnow,Clayton Kershaw,52.9669330961185,57.2149535255623,-1.8267341717302763,23.114096358422742,0.368715817022033,0.631284182977967,1562.80487526492,1610.72295816801,2,4
2020-10-24,2020,1,w,TBD,LAD,1563.86215802245,1608.07374050369,0.4159706737263448,0.5840293262736552,1566.44975190642,1605.48614661972,1562.24357716682,1611.28425626611,Ryan Yarbrough,Julio Urias,52.636551730121,50.9740994191503,-3.9595165918119757,-6.204883872699649,0.41116115615112,0.58883884384888,1564.20436099876,1609.32347243417,8,7
2020-10-23,2020,1,w,TBD,LAD,1567.09944219909,1604.83645632705,0.428091443318494,0.571908556681506,1563.86215802245,1608.07374050369,1564.61347048233,1608.9143629506,Charlie Morton,Walker Buehler,57.9711568649299,55.937980118408,20.54658840945645,18.098421681997614,0.420375641153204,0.579624358846796,1562.24357716682,1611.28425626611,2,6
2020-10-21,2020,1,w,LAD,TBD,1608.35240887604,1563.5834896501,0.5850681760166121,0.4149318239833879,1604.83645632705,1567.09944219909,1611.70103784628,1561.82679558665,Tony Gonsolin,Blake Snell,54.9754865918896,54.4215639228503,13.013222233239981,4.009710082092789,0.611091704473184,0.388908295526816,1608.9143629506,1564.61347048233,4,6
2020-10-20,2020,1,w,LAD,TBD,1604.60981859918,1567.32607992696,0.5710565794235365,0.4289434205764635,1608.35240887604,1563.5834896501,1609.32745383055,1564.20037960238,Clayton Kershaw,Tyler Glasnow,56.7304900085278,53.8580964851206,21.936498987325233,0.5290096354560767,0.62081725442824,0.37918274557176,1611.70103784628,1561.82679558665,8,3
2020-10-12,2020,1,l,LAD,ATL,1606.34563992764,1551.766423177,0.6032226251071057,0.39677737489289433,1601.24468440813,1556.86737869651,1612.16514501615,1547.77604946741,Walker Buehler,Max Fried,55.722647886634,53.4063050762281,15.952732311159558,17.91686430873052,0.617542250971648,0.382457749028352,1608.22222929779,1551.71896518577,1,5
2020-10-12,2020,1,l,TBD,HOU,1567.55603208208,1550.00321750736,0.5336298571956931,0.4663701428043069,1570.11537010748,1547.44387948196,1564.11278213173,1557.56414595097,Charlie Morton,Lance McCullers Jr.,56.6719440423322,51.8016750482498,14.25925856221841,-5.586864405030464,0.550474304907642,0.449525695092358,1565.94329065939,1555.73363742331,4,2
2020-10-11,2020,1,l,TBD,HOU,1565.56202814885,1551.99722144059,0.5260049485826873,0.4739950514173127,1567.55603208208,1550.00321750736,1562.63259399825,1559.04433408445,Blake Snell,Framber Valdez,54.7776400458332,51.0331462358581,5.225561615120957,-9.041907903670422,0.529813251475199,0.470186748524801,1564.11278213173,1557.56414595097,2,1
2020-10-09,2020,1,d,TBD,NYY,1563.45870292195,1560.54813659362,0.505584623284665,0.494415376715335,1565.56202814885,1558.44481136672,1560.69546927955,1564.14349011467,Tyler Glasnow,Gerrit Cole,54.3626103634287,63.9007693975396,3.440209654580638,43.743947092176185,0.416828327491733,0.583171672508267,1562.63259399825,1562.20636539597,2,1
